playerID,position,positionOrder
560,GK,1
557,DR,2
548,DC,3
628,DC,3
1006,DL,4
551,DMC,7
654,DMC,7
554,AMR,11
555,AMC,12
631,AML,13
629,FW,15
552,Sub,17
627,Sub,17
907,Sub,17
651,GK,1
638,DR,2
639,DC,3
640,DC,3
660,DL,4
914,DMC,7
643,DMC,7
642,AMR,11
646,AMC,12
648,AML,13
647,FW,15
649,Sub,17
644,Sub,17
645,Sub,17
455,GK,1
456,DR,2
458,DC,3
457,DC,3
459,DL,4
461,MR,8
460,MC,9
462,MC,9
466,ML,10
465,FW,15
468,FW,15
957,Sub,17
472,Sub,17
464,Sub,17
662,GK,1
674,DR,2
665,DC,3
875,DC,3
961,DL,4
668,MC,9
669,MC,9
677,MC,9
672,FWR,14
890,FW,15
679,FWL,16
667,Sub,17
899,Sub,17
671,Sub,17
600,GK,1
585,DR,2
587,DC,3
586,DC,3
909,DL,4
589,DMC,7
590,DMC,7
595,AMR,11
592,AMC,12
596,AML,13
594,FW,15
601,Sub,17
598,Sub,17
824,Sub,17
564,GK,1
565,DR,2
566,DC,3
581,DC,3
568,DL,4
577,MR,8
570,MC,9
572,MC,9
1016,ML,10
582,AMC,12
574,FW,15
571,Sub,17
578,Sub,17
573,Sub,17
745,GK,1
955,DR,2
747,DC,3
748,DC,3
757,DL,4
753,MR,8
784,MC,9
752,MC,9
750,ML,10
755,FW,15
754,FW,15
751,Sub,17
749,Sub,17
974,Sub,17
580,GK,1
742,DR,2
736,DC,3
927,DC,3
730,DL,4
738,DMC,7
929,MR,8
740,MC,9
733,MC,9
781,ML,10
735,FW,15
930,Sub,17
1034,Sub,17
785,GK,1
926,DR,2
821,DC,3
788,DC,3
789,DL,4
791,DMC,7
792,MR,8
793,MC,9
801,MC,9
1011,ML,10
467,FW,15
1010,Sub,17
790,Sub,17
794,Sub,17
635,GK,1
510,DR,2
511,DC,3
512,DC,3
513,DL,4
522,MR,8
633,MC,9
516,MC,9
514,ML,10
632,AMC,12
882,FW,15
519,Sub,17
515,Sub,17
518,Sub,17
680,GK,1
682,DR,2
699,DC,3
917,DC,3
681,DL,4
686,DMC,7
697,DMC,7
700,AMR,11
692,AMC,12
701,AML,13
802,FW,15
696,Sub,17
935,Sub,17
694,Sub,17
706,GK,1
718,DR,2
708,DC,3
709,DC,3
710,DL,4
769,DMC,7
723,DMC,7
713,AMR,11
714,AMC,12
715,AML,13
717,FW,15
719,Sub,17
963,Sub,17
712,Sub,17
982,GK,1
764,DR,2
941,DC,3
849,DC,3
943,DL,4
768,DMC,7
767,DMC,7
772,AMR,11
771,AMC,12
851,AML,13
850,FW,15
854,Sub,17
774,Sub,17
773,Sub,17
846,GK,1
847,DR,2
845,DC,3
834,DC,3
884,DL,4
836,DMC,7
883,DMC,7
840,AMR,11
838,AMC,12
844,AML,13
841,FW,15
839,Sub,17
832,Sub,17
491,GK,1
967,DR,2
507,DC,3
494,DC,3
495,DL,4
504,DMC,7
497,DMC,7
966,AMR,11
499,AMC,12
965,AML,13
502,FW,15
503,Sub,17
498,Sub,17
527,GK,1
530,DR,2
528,DC,3
529,DC,3
534,DL,4
532,MC,9
533,MC,9
543,MC,9
939,FWR,14
656,FW,15
536,FWL,16
1029,Sub,17
1028,Sub,17
800,Sub,17
856,GK,1
944,DR,2
860,DC,3
859,DC,3
887,DL,4
862,DMC,7
946,DMC,7
863,AMR,11
873,AMC,12
864,AML,13
868,FW,15
1007,Sub,17
858,Sub,17
1001,Sub,17
487,GK,1
603,DR,2
602,DC,3
607,DC,3
987,DL,4
489,DMC,7
605,DMC,7
481,AMR,11
488,AMC,12
486,AML,13
606,FW,15
482,Sub,17
604,Sub,17
820,GK,1
819,DR,2
664,DC,3
804,DC,3
904,DL,4
812,MR,8
990,MC,9
809,MC,9
814,ML,10
811,FW,15
816,FW,15
880,Sub,17
808,Sub,17
818,Sub,17
609,GK,1
625,DR,2
612,DC,3
626,DC,3
621,DL,4
614,DMC,7
878,DMC,7
616,AMR,11
617,AMC,12
618,AML,13
622,FW,15
877,Sub,17
623,Sub,17
619,Sub,17
323,AMC,12
842,Sub,17
843,Sub,17
591,Sub,17
977,Sub,17
732,MC,9
932,Sub,17
919,Sub,17
796,Sub,17
783,Sub,17
830,Sub,17
765,Sub,17
915,Sub,17
637,GK,1
865,AML,13
867,Sub,17
866,Sub,17
569,Sub,17
744,Sub,17
805,DC,3
806,DC,3
813,Sub,17
938,DR,2
542,Sub,17
535,Sub,17
526,Sub,17
822,Sub,17
492,DR,2
545,Sub,17
970,Sub,17
936,AMR,11
1089,Sub,17
608,Sub,17
975,Sub,17
825,Sub,17
191,Sub,17
770,AML,13
942,Sub,17
888,AMR,11
729,DC,3
520,AML,13
743,Sub,17
675,AMC,12
900,Sub,17
761,Sub,17
756,Sub,17
653,Sub,17
540,GK,1
993,Sub,17
687,AMR,11
685,Sub,17
876,Sub,17
948,Sub,17
953,DC,3
508,DC,3
493,DC,3
475,MC,9
988,Sub,17
945,Sub,17
855,Sub,17
663,DR,2
670,Sub,17
739,Sub,17
1024,Sub,17
999,Sub,17
688,Sub,17
689,Sub,17
517,Sub,17
986,Sub,17
1018,Sub,17
620,Sub,17
641,DL,4
815,Sub,17
897,Sub,17
894,Sub,17
964,Sub,17
630,Sub,17
908,MC,9
597,Sub,17
593,Sub,17
857,DR,2
871,Sub,17
525,DR,2
933,DC,3
447,Sub,17
807,DC,3
833,DC,3
795,Sub,17
798,Sub,17
463,ML,10
546,GK,1
553,Sub,17
484,Sub,17
931,DMC,7
737,AML,13
453,AMR,11
775,Sub,17
541,AML,13
537,Sub,17
690,Sub,17
583,Sub,17
579,Sub,17
828,DC,3
872,Sub,17
720,Sub,17
611,DC,3
531,Sub,17
655,Sub,17
940,Sub,17
960,Sub,17
634,Sub,17
550,DL,4
559,Sub,17
485,DC,3
483,FW,15
624,GK,1
615,DMC,7
925,Sub,17
835,DL,4
956,Sub,17
895,DMC,7
480,Sub,17
951,Sub,17
983,DL,4
998,Sub,17
947,Sub,17
509,GK,1
921,Sub,17
962,DC,3
610,DR,2
916,DMC,7
766,Sub,17
981,Sub,17
746,DR,2
727,DR,2
707,DR,2
992,Sub,17
954,GK,1
837,Sub,17
810,MR,8
684,DL,4
558,Sub,17
469,GK,1
471,Sub,17
763,GK,1
853,DL,4
524,DR,2
787,DC,3
567,DC,3
652,Sub,17
952,Sub,17
797,MC,9
886,DC,3
506,AMR,11
500,Sub,17
539,Sub,17
891,Sub,17
928,DC,3
881,AMC,12
661,Sub,17
958,Sub,17
1037,Sub,17
1066,Sub,17
922,Sub,17
476,Sub,17
657,Sub,17
905,Sub,17
949,Sub,17
1050,Sub,17
823,Sub,17
799,GK,1
547,Sub,17
676,DC,3
695,Sub,17
588,Sub,17
613,DL,4
973,GK,1
1072,Sub,17
760,DC,3
698,GK,1
726,GK,1
780,GK,1
721,DC,3
1045,MC,9
829,FWR,14
477,Sub,17
910,Sub,17
666,DL,4
1026,Sub,17
1060,Sub,17
678,GK,1
826,FW,15
827,Sub,17
831,GK,1
924,Sub,17
741,GK,1
232,Sub,17
778,Sub,17
762,Sub,17
898,Sub,17
786,DR,2
650,Sub,17
848,Sub,17
803,GK,1
575,Sub,17
777,Sub,17
902,Sub,17
937,Sub,17
162,DC,3
728,DC,3
731,Sub,17
734,Sub,17
521,Sub,17
817,DMC,7
716,Sub,17
584,GK,1
576,Sub,17
1054,Sub,17
861,MC,9
1059,Sub,17
538,Sub,17
1048,Sub,17
1047,Sub,17
869,Sub,17
776,Sub,17
501,Sub,17
673,Sub,17
479,Sub,17
759,DR,2
711,Sub,17
556,FW,15
549,Sub,17
562,Sub,17
496,Sub,17
599,Sub,17
892,DL,4
896,Sub,17
490,DR,2
505,GK,1
906,Sub,17
893,Sub,17
874,Sub,17
478,Sub,17
683,DC,3
693,Sub,17
691,Sub,17
870,GK,1
879,Sub,17
1042,Sub,17
1043,Sub,17
473,GK,1
474,DR,2
889,GK,1
523,GK,1
901,Sub,17
1036,Sub,17
920,DC,3
1031,Sub,17
1032,Sub,17
1022,MC,9
1023,Sub,17
1015,Sub,17
702,Sub,17
703,Sub,17
1084,Sub,17
779,Sub,17
1070,Sub,17
722,GK,1
1079,DL,4
1080,ML,10
1046,Sub,17
1014,Sub,17
1013,Sub,17
1078,Sub,17
1697,GK,1
1685,DR,2
1686,DC,3
1689,DC,3
1688,DL,4
1695,MC,9
1693,MC,9
1690,MC,9
1691,FWR,14
1698,FW,15
1694,FWL,16
1680,DC,3
1681,FW,15
1737,MR,8
985,DC,3
1730,Sub,17
1651,GK,1
1652,DR,2
1654,DC,3
1653,DC,3
1655,DL,4
1656,MR,8
1787,MC,9
1658,MC,9
1659,ML,10
1661,FW,15
1660,FW,15
1663,Sub,17
1664,Sub,17
1728,FW,15
1705,GK,1
1757,DR,2
1706,DC,3
1707,DC,3
1708,DL,4
1710,DMC,7
1717,DMC,7
1782,AMR,11
1712,AML,13
1715,FW,15
1753,Sub,17
1711,Sub,17
343,Sub,17
1784,Sub,17
1722,Sub,17
1732,AML,13
1027,AML,13
1789,MC,9
1739,DC,3
1741,FW,15
317,Sub,17
1749,DC,3
204,Sub,17
265,DC,3
1678,Sub,17
1760,DL,4
202,MC,9
1703,Sub,17
1740,DMC,7
1764,Sub,17
1657,MC,9
1662,Sub,17
1669,Sub,17
1692,Sub,17
1726,Sub,17
1017,Sub,17
1785,MC,9
1071,DC,3
1754,Sub,17
1709,AMR,11
1718,Sub,17
1672,Sub,17
1675,Sub,17
1683,ML,10
971,Sub,17
332,DC,3
1725,DC,3
1723,Sub,17
1724,Sub,17
91,Sub,17
1736,Sub,17
1719,DR,2
1665,Sub,17
1670,GK,1
1687,Sub,17
1713,Sub,17
1731,GK,1
337,Sub,17
1765,Sub,17
1743,DC,3
1699,DC,3
1700,FW,15
1746,Sub,17
1642,FW,15
1763,Sub,17
1039,Sub,17
1720,Sub,17
1676,DC,3
1682,FW,15
314,DMC,7
1055,Sub,17
1738,Sub,17
1674,Sub,17
1701,Sub,17
1714,Sub,17
1729,Sub,17
1742,GK,1
1671,Sub,17
1702,DC,3
37,GK,1
1684,GK,1
1696,Sub,17
1621,Sub,17
1704,DL,4
1673,Sub,17
1668,Sub,17
1677,Sub,17
725,Sub,17
1733,Sub,17
1727,DC,3
1744,DC,3
1734,Sub,17
1410,GK,1
1842,DR,2
1853,DC,3
2034,DC,3
1954,DL,4
1151,MC,9
1996,MC,9
1221,MC,9
1959,FWR,14
1955,FW,15
1851,FWL,16
1849,Sub,17
1847,Sub,17
1846,Sub,17
1244,GK,1
1254,DR,2
1179,DC,3
1246,DC,3
1438,DL,4
1251,MC,9
1290,MC,9
1249,MC,9
1943,FWR,14
1253,FW,15
1250,FWL,16
2011,Sub,17
1185,Sub,17
1483,GK,1
1201,DR,2
1541,DC,3
1107,DC,3
1542,DL,4
1205,MC,9
1207,MC,9
1589,MC,9
1517,FWR,14
1210,FW,15
1564,FWL,16
1206,Sub,17
1543,Sub,17
1208,Sub,17
1609,GK,1
1454,DR,2
1453,DC,3
1180,DC,3
1441,DL,4
1902,MC,9
1356,MC,9
1913,MC,9
1611,AMC,12
1917,FW,15
1981,FW,15
1380,Sub,17
1580,Sub,17
1285,GK,1
1576,DC,3
1286,DC,3
1287,DC,3
1303,DMR,5
1298,DML,6
1403,MC,9
226,FW,15
1295,FW,15
1294,Sub,17
1402,Sub,17
1138,GK,1
1149,DC,3
1887,DC,3
1140,DC,3
1097,DMR,5
1156,DML,6
1228,MC,9
1977,MC,9
1150,MC,9
1147,FW,15
1888,FW,15
1148,Sub,17
1561,Sub,17
1139,Sub,17
1328,GK,1
1279,DC,3
2047,DC,3
1534,DC,3
1274,DMR,5
1838,DML,6
1101,MC,9
1271,MC,9
1273,MC,9
1275,FW,15
1836,FW,15
1909,Sub,17
1837,Sub,17
1284,Sub,17
1113,GK,1
1431,DC,3
1630,DC,3
1094,DC,3
1633,MR,8
1885,MC,9
1123,MC,9
1100,ML,10
1111,AMC,12
1115,FW,15
1106,FW,15
1401,Sub,17
2038,Sub,17
1924,Sub,17
1532,GK,1
1813,DR,2
1222,DC,3
1530,DC,3
1224,DL,4
1937,MC,9
1225,MC,9
1646,MC,9
1810,AMC,12
1514,FW,15
1229,FW,15
1939,Sub,17
1845,Sub,17
1974,GK,1
1972,DR,2
2054,DC,3
1342,DC,3
1896,DL,4
1153,MR,8
1904,MC,9
1643,MC,9
1920,ML,10
2027,AMC,12
1903,FW,15
1905,Sub,17
2049,Sub,17
2055,Sub,17
1460,GK,1
1951,DR,2
1463,DC,3
1462,DC,3
1464,DL,4
1474,MC,9
1466,MC,9
1603,MC,9
1612,FWR,14
1468,FW,15
1338,FWL,16
1360,Sub,17
1826,Sub,17
1374,GK,1
1391,DR,2
1588,DC,3
1395,DC,3
1375,DL,4
1381,MC,9
1857,MC,9
1184,MC,9
1393,AMC,12
1293,FW,15
1384,FW,15
1385,Sub,17
1382,Sub,17
1383,Sub,17
1505,GK,1
1509,DR,2
1507,DC,3
1508,DC,3
1247,DL,4
1510,MC,9
1516,MC,9
1525,MC,9
1511,AMC,12
1513,FW,15
1518,FW,15
1524,Sub,17
1570,Sub,17
1291,Sub,17
1501,GK,1
1485,DR,2
1610,DC,3
1556,DC,3
1490,DL,4
1557,MC,9
1492,MC,9
2029,FWR,14
1984,FW,15
1491,FWL,16
1494,Sub,17
1502,Sub,17
1503,Sub,17
1305,GK,1
1323,DR,2
4032,DC,3
1320,DC,3
1792,DL,4
1312,MC,9
1386,MC,9
1326,MC,9
1313,AMC,12
1315,FW,15
1318,FW,15
1319,Sub,17
1607,Sub,17
1160,GK,1
1344,DR,2
1330,DC,3
1572,DC,3
1332,DL,4
1336,MR,8
1341,MC,9
1334,MC,9
1333,ML,10
1912,FW,15
1337,Sub,17
1335,Sub,17
1329,Sub,17
1416,GK,1
1435,DR,2
1418,DC,3
1884,DC,3
1430,DMC,7
1422,DMC,7
1967,AMR,11
1426,AMC,12
1424,AML,13
1425,FW,15
1622,Sub,17
1419,Sub,17
1618,GK,1
1120,DR,2
1119,DC,3
1131,DC,3
1590,DL,4
1121,MC,9
1948,MC,9
1641,MC,9
1124,AMC,12
1127,FW,15
1125,FW,15
1133,Sub,17
2048,Sub,17
2006,Sub,17
1873,GK,1
1352,DR,2
1807,DC,3
1861,DC,3
1862,DL,4
1963,MR,8
1869,MC,9
1864,MC,9
1871,ML,10
1867,FW,15
1874,FW,15
2044,Sub,17
1870,Sub,17
1859,Sub,17
1195,GK,1
1800,DC,3
1377,DC,3
1196,DC,3
1567,DMR,5
1933,DML,6
1183,MC,9
1182,MC,9
1269,MC,9
1188,FW,15
1230,FW,15
1192,Sub,17
1194,Sub,17
1198,Sub,17
1458,DR,2
1439,DC,3
1452,MC,9
1448,MC,9
1979,FWR,14
1473,FWR,14
1953,Sub,17
1129,AMC,12
1117,Sub,17
1394,DC,3
1307,Sub,17
1322,Sub,17
1823,DL,4
1187,Sub,17
1942,DC,3
1296,MC,9
1804,Sub,17
1852,Sub,17
1644,Sub,17
5821,MC,9
1975,Sub,17
1840,DC,3
1264,Sub,17
1376,DC,3
1379,MC,9
1387,Sub,17
1389,Sub,17
1232,AMC,12
1497,Sub,17
1936,Sub,17
1906,MC,9
1973,MC,9
1949,MC,9
1522,Sub,17
1506,Sub,17
1171,Sub,17
1204,Sub,17
1883,Sub,17
1096,DC,3
1099,MC,9
1581,FW,15
1104,Sub,17
1456,Sub,17
1504,MC,9
1985,Sub,17
3862,Sub,17
1860,DC,3
1359,Sub,17
1868,Sub,17
1309,DL,4
1423,MC,9
1434,FW,15
1966,Sub,17
1539,Sub,17
1444,Sub,17
1602,DL,4
1872,MC,9
1866,Sub,17
1822,DC,3
1255,AMC,12
1289,DL,4
1300,MC,9
1911,Sub,17
1331,Sub,17
1604,Sub,17
1197,DC,3
1597,DC,3
1190,MC,9
1186,FW,15
1801,Sub,17
1552,FW,15
1960,Sub,17
1835,Sub,17
2056,GK,1
1895,DC,3
1900,MC,9
1907,FW,15
1405,Sub,17
1446,Sub,17
1983,DR,2
1118,DC,3
1484,Sub,17
1928,Sub,17
1499,Sub,17
1935,Sub,17
1306,Sub,17
1248,Sub,17
1200,GK,1
1880,DC,3
1203,DC,3
1879,AMC,12
1472,Sub,17
1978,Sub,17
1568,MC,9
448,AMC,12
1828,Sub,17
1135,DR,2
1573,MC,9
1817,Sub,17
1809,Sub,17
1241,Sub,17
1812,Sub,17
1442,DMC,7
1451,AMR,11
1033,AML,13
1457,Sub,17
1159,DC,3
2028,Sub,17
1574,Sub,17
1340,Sub,17
2024,Sub,17
1299,MC,9
1825,GK,1
1824,DR,2
1478,DR,2
1467,Sub,17
1178,Sub,17
1940,Sub,17
1238,Sub,17
1841,GK,1
1843,Sub,17
1971,DC,3
1112,MC,9
1969,Sub,17
1877,DMC,7
1213,Sub,17
1890,DC,3
1889,Sub,17
1815,Sub,17
1894,GK,1
1365,DL,4
2021,Sub,17
1347,FW,15
1600,Sub,17
1440,DC,3
1855,DL,4
1958,Sub,17
1297,GK,1
1865,MR,8
2026,FW,15
1793,FW,15
1944,Sub,17
2025,Sub,17
1527,DC,3
1797,Sub,17
1934,Sub,17
2003,Sub,17
1562,Sub,17
1415,Sub,17
2020,Sub,17
1938,Sub,17
1908,GK,1
1901,MC,9
1325,MC,9
1311,AMC,12
1245,Sub,17
1599,Sub,17
1141,DC,3
1292,MC,9
1587,Sub,17
1579,DC,3
1495,Sub,17
1964,DC,3
1266,DC,3
1093,GK,1
1546,DR,2
1154,Sub,17
1878,FW,15
1095,DC,3
1437,GK,1
1545,DR,2
2019,Sub,17
1116,GK,1
1480,Sub,17
1932,Sub,17
1848,Sub,17
1165,Sub,17
1515,DC,3
1523,DR,2
1432,Sub,17
1858,GK,1
1827,DL,4
1816,Sub,17
1126,FWL,16
2018,Sub,17
1471,MC,9
1899,ML,10
1193,DR,2
1450,Sub,17
1243,Sub,17
1267,Sub,17
1281,Sub,17
1596,DL,4
1950,DR,2
1301,Sub,17
1558,GK,1
1487,DR,2
2008,Sub,17
1945,Sub,17
1191,DC,3
1844,Sub,17
1956,Sub,17
1897,Sub,17
1882,Sub,17
1819,Sub,17
1863,ML,10
1378,DL,4
1168,Sub,17
1608,GK,1
1209,FW,15
1536,Sub,17
1533,Sub,17
1231,Sub,17
1369,Sub,17
1854,GK,1
1876,DC,3
1346,Sub,17
1994,DL,4
1482,DC,3
1252,ML,10
1987,MC,9
1891,MC,9
1795,DC,3
1421,ML,10
1345,GK,1
1559,Sub,17
275,Sub,17
1915,Sub,17
1997,Sub,17
1898,DML,6
1445,Sub,17
1802,Sub,17
1547,DML,6
1488,MC,9
2014,Sub,17
1105,MR,8
1839,Sub,17
1808,Sub,17
1554,DC,3
1256,Sub,17
1263,GK,1
1519,GK,1
1475,Sub,17
1821,Sub,17
1310,Sub,17
1350,Sub,17
1875,DC,3
1535,Sub,17
1132,GK,1
1265,DC,3
1980,Sub,17
1142,DC,3
1321,GK,1
2010,Sub,17
1103,Sub,17
1122,Sub,17
1223,Sub,17
1989,GK,1
1927,DC,3
1806,GK,1
1811,Sub,17
1830,Sub,17
1829,Sub,17
1553,GK,1
1926,GK,1
1496,AMC,12
1914,Sub,17
1850,Sub,17
1635,DC,3
1000,Sub,17
1144,MC,9
1145,AMC,12
1088,Sub,17
1548,Sub,17
1288,DMR,5
1433,FWR,14
1189,Sub,17
18,DC,3
1270,ML,10
1272,Sub,17
1276,Sub,17
1277,Sub,17
1465,MC,9
1477,MC,9
1161,DR,2
1164,DL,4
1169,MC,9
1569,AMC,12
1166,AMC,12
1170,FW,15
1172,Sub,17
1174,Sub,17
1583,Sub,17
1489,MC,9
1500,FWR,14
1493,Sub,17
1563,DL,4
1218,FWR,14
1202,Sub,17
1443,MC,9
1447,FWL,16
1351,GK,1
1353,DC,3
1354,DC,3
1370,DC,3
1371,MR,8
1364,MC,9
1357,MC,9
1355,ML,10
1363,FWR,14
1362,FW,15
1361,FWL,16
1628,Sub,17
1368,Sub,17
1348,Sub,17
1520,AMC,12
1317,MC,9
1226,MC,9
1227,MC,9
1236,Sub,17
1237,Sub,17
1235,Sub,17
1098,MC,9
1109,FWL,16
1396,GK,1
1408,DC,3
1550,DC,3
1399,DC,3
1400,DML,6
1404,MC,9
1406,FW,15
1414,Sub,17
1411,Sub,17
1645,Sub,17
1595,DC,3
328,DC,3
1577,Sub,17
1128,DC,3
1130,Sub,17
1136,Sub,17
1549,Sub,17
1234,Sub,17
1481,Sub,17
1162,DC,3
1173,Sub,17
1531,Sub,17
1449,Sub,17
1152,AMC,12
1308,DC,3
1324,DL,4
1398,DC,3
1409,AMC,12
1634,Sub,17
1367,GK,1
1358,Sub,17
1626,Sub,17
1429,ML,10
1623,Sub,17
1470,Sub,17
1469,Sub,17
1268,Sub,17
1605,Sub,17
1143,MC,9
1167,Sub,17
1512,DMC,7
1314,Sub,17
1366,DC,3
1528,Sub,17
1212,Sub,17
1163,Sub,17
1461,DR,2
1108,DC,3
1102,Sub,17
1181,Sub,17
1397,DR,2
1592,AMC,12
1372,Sub,17
1436,Sub,17
1214,GK,1
1219,Sub,17
1575,DR,2
1566,FW,15
1146,Sub,17
1339,Sub,17
1585,Sub,17
1521,Sub,17
1417,DC,3
1407,Sub,17
1571,Sub,17
1217,Sub,17
1283,Sub,17
1486,DC,3
